Symbol,Date,Low,High,Open,Close,Volume,VolumeScaledNormalized,CloseDiff,WeekDiff,Sector,Label
NI,2022-12-12,27.350000381469727,27.65999984741211,27.56999969482422,27.584999084472656,707269.0,0.5926331267886314,0.1949996948242152,-0.3600006103515589,Utilities,1
RCL,2022-12-12,54.810001373291016,57.02000045776367,56.0,56.970001220703125,774065.0,0.5966038228090306,0.7600021362304688,-4.700000762939453,Consumer Discretionary,1
NOV,2022-12-12,19.174999237060547,19.864999771118164,19.399999618530273,19.825000762939453,533838.0,0.5802553404849717,0.5650005340576172,-2.989999771118164,Energy,1
REGN,2022-12-12,728.0,742.469970703125,730.1699829101562,738.8800048828125,318007.0,0.5574629536365536,-11.17999267578125,-11.17999267578125,Health Care,0
IBM,2022-12-12,146.94259643554688,148.27999877929688,147.82000732421875,147.58999633789062,1049947.0,0.6100164968961185,0.5399932861328125,-2.1100006103515625,Information Technology,1
OKE,2022-12-12,63.810001373291016,64.8949966430664,63.91999816894531,64.77999877929688,438688.0,0.5716181332336182,1.229999542236328,-3.6499977111816406,Energy,1
INTC,2022-12-12,27.858800888061523,28.219999313354492,28.1299991607666,28.11549949645996,8355911.0,0.7012809792665524,-0.1245002746582031,-1.5900001525878906,Information Technology,0
HUM,2022-12-12,526.22998046875,536.969970703125,534.6799926757812,530.5700073242188,375704.0,0.5647988464322272,-2.8499755859375,-14.95001220703125,Health Care,0
NRG,2022-12-12,31.68000030517578,32.529998779296875,32.400001525878906,32.060001373291016,1137296.0,0.6135326412832343,-0.2199974060058593,-9.85000228881836,Utilities,0
NFX,2022-12-12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Energy,1
QCOM,2022-12-12,116.09010314941406,119.63500213623048,116.05999755859376,119.37999725341795,3123223.0,0.6579811740613466,0.3299942016601562,-7.759994506835966,Information Technology,1
NFLX,2022-12-12,310.2699890136719,323.17999267578125,320.0,311.8500061035156,3943422.0,0.6682410628774967,-8.160003662109375,3.05999755859375,Information Technology,0
HSY,2022-12-12,235.8350067138672,237.5800018310547,237.2400054931641,236.4499053955078,118934.0,0.5141897282106699,-0.3200988769531534,4.889999389648466,Consumer Staples,0
NSC,2022-12-12,244.02000427246097,248.80999755859375,245.16000366210935,248.52999877929688,357870.0,0.5626590897713675,4.4799957275390625,-12.309982299804688,Industrials,1
INTU,2022-12-12,398.3299865722656,406.8299865722656,400.7300109863281,406.8299865722656,284452.0,0.5525566644523884,7.0,-16.240020751953068,Information Technology,1
NEM,2022-12-12,45.34000015258789,46.470001220703125,46.220001220703125,45.80500030517578,1540266.0,0.6268776712399994,-0.595001220703125,-2.1699981689453125,Materials,0
QRVO,2022-12-12,96.94000244140624,97.95500183105467,97.5999984741211,97.9250030517578,86995.0,0.5004305069698987,0.3250045776367045,0.3499984741210937,Information Technology,1
PG,2022-12-12,151.0500030517578,151.77999877929688,151.22000122070312,151.6824951171875,1297914.0,0.619345149104592,0.7624969482421875,1.6699981689453125,Consumer Staples,1
